                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2028
                            ====================================================

|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
|             |   |    °    '|       °|     °    '|      '|    °    '|  h  m  s | h  m (Az°) |  h  m (Az°) |
| 2028 Fev  8 | M | 176 28.6 | 15.000 | S 15 12.5 | -0.79 | 137 38.5 | 12 14  7 | 7 12 (111) | 17 17 (249) |
| 2028 Fev  9 | M | 176 28.0 | 15.000 | S 14 53.5 | -0.80 | 138 37.7 | 12 14  9 | 7 10 (110) | 17 19 (250) |
| 2028 Fev 10 | J | 176 27.6 | 15.000 | S 14 34.3 | -0.81 | 139 36.8 | 12 14 10 | 7 09 (110) | 17 20 (250) |
| 2028 Fev 11 | V | 176 27.3 | 15.000 | S 14 14.9 | -0.82 | 140 35.9 | 12 14 11 | 7 08 (109) | 17 21 (251) |
| 2028 Fev 12 | S | 176 27.3 | 15.000 | S 13 55.2 | -0.83 | 141 35.1 | 12 14 11 | 7 06 (109) | 17 23 (251) |
| 2028 Fev 13 | D | 176 27.4 | 15.000 | S 13 35.3 | -0.84 | 142 34.2 | 12 14 10 | 7 05 (108) | 17 24 (252) |
| 2028 Fev 14 | L | 176 27.7 | 15.000 | S 13 15.1 | -0.85 | 143 33.4 | 12 14  8 | 7 03 (108) | 17 26 (252) |
| 2028 Fev 15 | M | 176 28.2 | 15.000 | S 12 54.8 | -0.86 | 144 32.5 | 12 14  6 | 7 02 (107) | 17 27 (253) |
| 2028 Fev 16 | M | 176 28.9 | 15.001 | S 12 34.2 | -0.87 | 145 31.6 | 12 14  3 | 7 00 (107) | 17 29 (253) |
| 2028 Fev 17 | J | 176 29.8 | 15.001 | S 12 13.4 | -0.87 | 146 30.8 | 12 13 59 | 6 59 (106) | 17 30 (254) |
| 2028 Fev 18 | V | 176 30.8 | 15.001 | S 11 52.5 | -0.88 | 147 29.9 | 12 13 54 | 6 57 (106) | 17 31 (254) |
| 2028 Fev 19 | S | 176 32.0 | 15.001 | S 11 31.3 | -0.89 | 148 29.1 | 12 13 49 | 6 56 (105) | 17 33 (255) |
| 2028 Fev 20 | D | 176 33.4 | 15.001 | S 11 10.0 | -0.90 | 149 28.2 | 12 13 43 | 6 54 (105) | 17 34 (255) |
| 2028 Fev 21 | L | 176 34.9 | 15.001 | S 10 48.5 | -0.90 | 150 27.3 | 12 13 37 | 6 52 (104) | 17 36 (256) |
| 2028 Fev 22 | M | 176 36.6 | 15.001 | S 10 26.8 | -0.91 | 151 26.5 | 12 13 30 | 6 51 (104) | 17 37 (256) |
| 2028 Fev 23 | M | 176 38.5 | 15.001 | S 10  4.9 | -0.92 | 152 25.6 | 12 13 22 | 6 49 (103) | 17 38 (257) |
| 2028 Fev 24 | J | 176 40.5 | 15.001 | S  9 42.9 | -0.92 | 153 24.7 | 12 13 14 | 6 47 (103) | 17 40 (257) |
| 2028 Fev 25 | V | 176 42.6 | 15.002 | S  9 20.8 | -0.93 | 154 23.9 | 12 13  5 | 6 46 (102) | 17 41 (258) |
| 2028 Fev 26 | S | 176 44.9 | 15.002 | S  8 58.5 | -0.93 | 155 23.0 | 12 12 55 | 6 44 (102) | 17 43 (259) |
| 2028 Fev 27 | D | 176 47.4 | 15.002 | S  8 36.0 | -0.94 | 156 22.2 | 12 12 45 | 6 42 (101) | 17 44 (259) |
| 2028 Fev 28 | L | 176 49.9 | 15.002 | S  8 13.5 | -0.94 | 157 21.3 | 12 12 35 | 6 41 (101) | 17 45 (260) |
| 2028 Fev 29 | M | 176 52.7 | 15.002 | S  7 50.8 | -0.95 | 158 20.4 | 12 12 24 | 6 39 (100) | 17 47 (260) |
| 2028 Mar  1 | M | 176 55.5 | 15.002 | S  7 28.0 | -0.95 | 159 19.6 | 12 12 12 | 6 37 (100) | 17 48 (261) |
| 2028 Mar  2 | J | 176 58.5 | 15.002 | S  7  5.1 | -0.96 | 160 18.7 | 12 11 60 | 6 35 ( 99) | 17 49 (261) |
| 2028 Mar  3 | V | 177  1.6 | 15.002 | S  6 42.2 | -0.96 | 161 17.8 | 12 11 47 | 6 34 ( 99) | 17 51 (262) |
| 2028 Mar  4 | S | 177  4.8 | 15.002 | S  6 19.1 | -0.97 | 162 17.0 | 12 11 34 | 6 32 ( 98) | 17 52 (262) |
| 2028 Mar  5 | D | 177  8.2 | 15.002 | S  5 55.9 | -0.97 | 163 16.1 | 12 11 20 | 6 30 ( 97) | 17 53 (263) |
| 2028 Mar  6 | L | 177 11.6 | 15.002 | S  5 32.7 | -0.97 | 164 15.3 | 12 11  6 | 6 28 ( 97) | 17 55 (263) |
| 2028 Mar  7 | M | 177 15.2 | 15.003 | S  5  9.3 | -0.97 | 165 14.4 | 12 10 52 | 6 26 ( 96) | 17 56 (264) |
| 2028 Mar  8 | M | 177 18.8 | 15.003 | S  4 45.9 | -0.98 | 166 13.5 | 12 10 37 | 6 25 ( 96) | 17 57 (265) |
| 2028 Mar  9 | J | 177 22.6 | 15.003 | S  4 22.5 | -0.98 | 167 12.7 | 12 10 22 | 6 23 ( 95) | 17 59 (265) |
| 2028 Mar 10 | V | 177 26.4 | 15.003 | S  3 59.0 | -0.98 | 168 11.8 | 12 10  6 | 6 21 ( 95) | 18 00 (266) |
| 2028 Mar 11 | S | 177 30.4 | 15.003 | S  3 35.5 | -0.98 | 169 11.0 | 12  9 51 | 6 19 ( 94) | 18 01 (266) |
| 2028 Mar 12 | D | 177 34.4 | 15.003 | S  3 11.9 | -0.98 | 170 10.1 | 12  9 34 | 6 17 ( 94) | 18 03 (267) |
| 2028 Mar 13 | L | 177 38.4 | 15.003 | S  2 48.2 | -0.99 | 171  9.2 | 12  9 18 | 6 15 ( 93) | 18 04 (267) |
| 2028 Mar 14 | M | 177 42.6 | 15.003 | S  2 24.6 | -0.99 | 172  8.4 | 12  9  1 | 6 14 ( 92) | 18 05 (268) |
| 2028 Mar 15 | M | 177 46.8 | 15.003 | S  2  0.9 | -0.99 | 173  7.5 | 12  8 44 | 6 12 ( 92) | 18 07 (268) |
| 2028 Mar 16 | J | 177 51.0 | 15.003 | S  1 37.2 | -0.99 | 174  6.6 | 12  8 27 | 6 10 ( 91) | 18 08 (269) |
| 2028 Mar 17 | V | 177 55.3 | 15.003 | S  1 13.5 | -0.99 | 175  5.8 | 12  8 10 | 6 08 ( 91) | 18 09 (270) |
| 2028 Mar 18 | S | 177 59.7 | 15.003 | S  0 49.7 | -0.99 | 176  4.9 | 12  7 53 | 6 06 ( 90) | 18 10 (270) |
| 2028 Mar 19 | D | 178  4.0 | 15.003 | S  0 26.0 | -0.99 | 177  4.1 | 12  7 35 | 6 04 ( 90) | 18 12 (271) |
| 2028 Mar 20 | L | 178  8.5 | 15.003 | S  0  2.3 | -0.99 | 178  3.2 | 12  7 17 | 6 02 ( 89) | 18 13 (271) |
| 2028 Mar 21 | M | 178 12.9 | 15.003 | N  0 21.4 | +0.99 | 179  2.3 | 12  6 59 | 6 01 ( 89) | 18 14 (272) |
| 2028 Mar 22 | M | 178 17.4 | 15.003 | N  0 45.1 | +0.99 | 180  1.5 | 12  6 42 | 5 59 ( 88) | 18 16 (272) |
| 2028 Mar 23 | J | 178 21.8 | 15.003 | N  1  8.8 | +0.99 | 181  0.6 | 12  6 24 | 5 57 ( 87) | 18 17 (273) |
| 2028 Mar 24 | V | 178 26.3 | 15.003 | N  1 32.4 | +0.98 | 181 59.8 | 12  6  6 | 5 55 ( 87) | 18 18 (273) |
| 2028 Mar 25 | S | 178 30.8 | 15.003 | N  1 56.1 | +0.98 | 182 58.9 | 12  5 48 | 5 53 ( 86) | 18 19 (274) |
| 2028 Mar 26 | D | 178 35.3 | 15.003 | N  2 19.6 | +0.98 | 183 58.0 | 12  5 30 | 5 51 ( 86) | 18 21 (275) |
| 2028 Mar 27 | L | 178 39.9 | 15.003 | N  2 43.1 | +0.98 | 184 57.2 | 12  5 12 | 5 49 ( 85) | 18 22 (275) |
| 2028 Mar 28 | M | 178 44.4 | 15.003 | N  3  6.6 | +0.97 | 185 56.3 | 12  4 54 | 5 47 ( 85) | 18 23 (276) |
| 2028 Mar 29 | M | 178 48.9 | 15.003 | N  3 30.0 | +0.97 | 186 55.4 | 12  4 36 | 5 46 ( 84) | 18 24 (276) |
| 2028 Mar 30 | J | 178 53.3 | 15.003 | N  3 53.3 | +0.97 | 187 54.6 | 12  4 18 | 5 44 ( 84) | 18 26 (277) |
| 2028 Mar 31 | V | 178 57.8 | 15.003 | N  4 16.6 | +0.97 | 188 53.7 | 12  3 60 | 5 42 ( 83) | 18 27 (277) |
| 2028 Avr  1 | S | 179  2.3 | 15.003 | N  4 39.7 | +0.96 | 189 52.9 | 12  3 42 | 5 40 ( 82) | 18 28 (278) |
| 2028 Avr  2 | D | 179  6.7 | 15.003 | N  5  2.8 | +0.96 | 190 52.0 | 12  3 24 | 5 38 ( 82) | 18 30 (278) |
| 2028 Avr  3 | L | 179 11.1 | 15.003 | N  5 25.8 | +0.95 | 191 51.1 | 12  3  7 | 5 36 ( 81) | 18 31 (279) |
| 2028 Avr  4 | M | 179 15.4 | 15.003 | N  5 48.7 | +0.95 | 192 50.3 | 12  2 50 | 5 34 ( 81) | 18 32 (279) |
| 2028 Avr  5 | M | 179 19.8 | 15.003 | N  6 11.5 | +0.95 | 193 49.4 | 12  2 32 | 5 33 ( 80) | 18 33 (280) |
| 2028 Avr  6 | J | 179 24.0 | 15.003 | N  6 34.2 | +0.94 | 194 48.6 | 12  2 15 | 5 31 ( 80) | 18 35 (281) |
| 2028 Avr  7 | V | 179 28.3 | 15.003 | N  6 56.8 | +0.94 | 195 47.7 | 12  1 59 | 5 29 ( 79) | 18 36 (281) |
| 2028 Avr  8 | S | 179 32.4 | 15.003 | N  7 19.3 | +0.93 | 196 46.8 | 12  1 42 | 5 27 ( 79) | 18 37 (282) |
| 2028 Avr  9 | D | 179 36.6 | 15.003 | N  7 41.6 | +0.93 | 197 46.0 | 12  1 26 | 5 25 ( 78) | 18 38 (282) |
| 2028 Avr 10 | L | 179 40.6 | 15.003 | N  8  3.8 | +0.92 | 198 45.1 | 12  1 10 | 5 24 ( 78) | 18 40 (283) |
| 2028 Avr 11 | M | 179 44.6 | 15.003 | N  8 25.9 | +0.91 | 199 44.2 | 12  0 54 | 5 22 ( 77) | 18 41 (283) |
| 2028 Avr 12 | M | 179 48.5 | 15.003 | N  8 47.8 | +0.91 | 200 43.4 | 12  0 38 | 5 20 ( 77) | 18 42 (284) |
| 2028 Avr 13 | J | 179 52.4 | 15.003 | N  9  9.6 | +0.90 | 201 42.5 | 12  0 23 | 5 18 ( 76) | 18 43 (284) |
| 2028 Avr 14 | V | 179 56.1 | 15.003 | N  9 31.2 | +0.89 | 202 41.7 | 12  0  8 | 5 16 ( 76) | 18 45 (285) |
| 2028 Avr 15 | S | 179 59.8 | 15.002 | N  9 52.7 | +0.89 | 203 40.8 | 11 59 54 | 5 15 ( 75) | 18 46 (285) |
| 2028 Avr 16 | D | 180  3.3 | 15.002 | N 10 14.0 | +0.88 | 204 39.9 | 11 59 40 | 5 13 ( 74) | 18 47 (286) |
| 2028 Avr 17 | L | 180  6.8 | 15.002 | N 10 35.1 | +0.87 | 205 39.1 | 11 59 26 | 5 11 ( 74) | 18 48 (286) |
| 2028 Avr 18 | M | 180 10.2 | 15.002 | N 10 56.1 | +0.87 | 206 38.2 | 11 59 13 | 5 10 ( 73) | 18 50 (287) |
| 2028 Avr 19 | M | 180 13.4 | 15.002 | N 11 16.9 | +0.86 | 207 37.4 | 11 58 60 | 5 08 ( 73) | 18 51 (287) |
| 2028 Avr 20 | J | 180 16.6 | 15.002 | N 11 37.5 | +0.85 | 208 36.5 | 11 58 48 | 5 06 ( 72) | 18 52 (288) |
| 2028 Avr 21 | V | 180 19.6 | 15.002 | N 11 57.9 | +0.84 | 209 35.6 | 11 58 36 | 5 04 ( 72) | 18 54 (288) |
| 2028 Avr 22 | S | 180 22.6 | 15.002 | N 12 18.2 | +0.83 | 210 34.8 | 11 58 24 | 5 03 ( 71) | 18 55 (289) |
| 2028 Avr 23 | D | 180 25.4 | 15.002 | N 12 38.2 | +0.83 | 211 33.9 | 11 58 13 | 5 01 ( 71) | 18 56 (289) |
| 2028 Avr 24 | L | 180 28.1 | 15.002 | N 12 58.0 | +0.82 | 212 33.0 | 11 58  3 | 5 00 ( 71) | 18 57 (290) |
| 2028 Avr 25 | M | 180 30.7 | 15.002 | N 13 17.6 | +0.81 | 213 32.2 | 11 57 52 | 4 58 ( 70) | 18 59 (290) |
| 2028 Avr 26 | M | 180 33.1 | 15.002 | N 13 37.0 | +0.80 | 214 31.3 | 11 57 43 | 4 56 ( 70) | 19 00 (291) |
| 2028 Avr 27 | J | 180 35.4 | 15.002 | N 13 56.1 | +0.79 | 215 30.5 | 11 57 34 | 4 55 ( 69) | 19 01 (291) |
| 2028 Avr 28 | V | 180 37.6 | 15.001 | N 14 15.1 | +0.78 | 216 29.6 | 11 57 25 | 4 53 ( 69) | 19 02 (292) |
| 2028 Avr 29 | S | 180 39.7 | 15.001 | N 14 33.7 | +0.77 | 217 28.7 | 11 57 17 | 4 52 ( 68) | 19 04 (292) |
| 2028 Avr 30 | D | 180 41.7 | 15.001 | N 14 52.2 | +0.76 | 218 27.9 | 11 57 10 | 4 50 ( 68) | 19 05 (293) |
| 2028 Mai  1 | L | 180 43.5 | 15.001 | N 15 10.4 | +0.75 | 219 27.0 | 11 57  3 | 4 49 ( 67) | 19 06 (293) |
| 2028 Mai  2 | M | 180 45.2 | 15.001 | N 15 28.3 | +0.74 | 220 26.2 | 11 56 56 | 4 47 ( 67) | 19 07 (293) |
| 2028 Mai  3 | M | 180 46.8 | 15.001 | N 15 46.0 | +0.73 | 221 25.3 | 11 56 50 | 4 46 ( 66) | 19 09 (294) |
| 2028 Mai  4 | J | 180 48.2 | 15.001 | N 16  3.4 | +0.71 | 222 24.4 | 11 56 45 | 4 44 ( 66) | 19 10 (294) |
| 2028 Mai  5 | V | 180 49.5 | 15.001 | N 16 20.6 | +0.70 | 223 23.6 | 11 56 40 | 4 43 ( 66) | 19 11 (295) |
| 2028 Mai  6 | S | 180 50.7 | 15.001 | N 16 37.5 | +0.69 | 224 22.7 | 11 56 35 | 4 42 ( 65) | 19 12 (295) |
| 2028 Mai  7 | D | 180 51.7 | 15.001 | N 16 54.1 | +0.68 | 225 21.9 | 11 56 31 | 4 40 ( 65) | 19 13 (296) |
| 2028 Mai  8 | L | 180 52.6 | 15.001 | N 17 10.4 | +0.67 | 226 21.0 | 11 56 28 | 4 39 ( 64) | 19 15 (296) |
| 2028 Mai  9 | M | 180 53.3 | 15.000 | N 17 26.5 | +0.66 | 227 20.1 | 11 56 25 | 4 38 ( 64) | 19 16 (296) |
| 2028 Mai 10 | M | 180 53.9 | 15.000 | N 17 42.2 | +0.64 | 228 19.3 | 11 56 23 | 4 36 ( 64) | 19 17 (297) |
| 2028 Mai 11 | J | 180 54.4 | 15.000 | N 17 57.7 | +0.63 | 229 18.4 | 11 56 22 | 4 35 ( 63) | 19 18 (297) |
| 2028 Mai 12 | V | 180 54.7 | 15.000 | N 18 12.8 | +0.62 | 230 17.6 | 11 56 21 | 4 34 ( 63) | 19 19 (297) |
| 2028 Mai 13 | S | 180 54.9 | 15.000 | N 18 27.7 | +0.61 | 231 16.7 | 11 56 20 | 4 33 ( 62) | 19 21 (298) |
| 2028 Mai 14 | D | 180 54.9 | 15.000 | N 18 42.2 | +0.59 | 232 15.8 | 11 56 21 | 4 32 ( 62) | 19 22 (298) |
| 2028 Mai 15 | L | 180 54.8 | 15.000 | N 18 56.4 | +0.58 | 233 15.0 | 11 56 21 | 4 31 ( 62) | 19 23 (299) |
| 2028 Mai 16 | M | 180 54.5 | 15.000 | N 19 10.3 | +0.57 | 234 14.1 | 11 56 23 | 4 29 ( 61) | 19 24 (299) |
| 2028 Mai 17 | M | 180 54.1 | 15.000 | N 19 23.9 | +0.55 | 235 13.2 | 11 56 25 | 4 28 ( 61) | 19 25 (299) |
| 2028 Mai 18 | J | 180 53.5 | 15.000 | N 19 37.2 | +0.54 | 236 12.4 | 11 56 27 | 4 27 ( 61) | 19 26 (300) |
| 2028 Mai 19 | V | 180 52.8 | 14.999 | N 19 50.1 | +0.52 | 237 11.5 | 11 56 30 | 4 26 ( 60) | 19 27 (300) |
| 2028 Mai 20 | S | 180 52.0 | 14.999 | N 20  2.6 | +0.51 | 238 10.7 | 11 56 34 | 4 25 ( 60) | 19 28 (300) |
| 2028 Mai 21 | D | 180 51.0 | 14.999 | N 20 14.9 | +0.50 | 239  9.8 | 11 56 38 | 4 24 ( 60) | 19 29 (301) |
| 2028 Mai 22 | L | 180 49.9 | 14.999 | N 20 26.8 | +0.48 | 240  8.9 | 11 56 43 | 4 24 ( 59) | 19 30 (301) |
| 2028 Mai 23 | M | 180 48.7 | 14.999 | N 20 38.3 | +0.47 | 241  8.1 | 11 56 48 | 4 23 ( 59) | 19 32 (301) |
| 2028 Mai 24 | M | 180 47.3 | 14.999 | N 20 49.5 | +0.45 | 242  7.2 | 11 56 54 | 4 22 ( 59) | 19 33 (301) |
| 2028 Mai 25 | J | 180 45.8 | 14.999 | N 21  0.3 | +0.44 | 243  6.4 | 11 57  0 | 4 21 ( 59) | 19 34 (302) |
| 2028 Mai 26 | V | 180 44.2 | 14.999 | N 21 10.8 | +0.42 | 244  5.5 | 11 57  7 | 4 20 ( 58) | 19 35 (302) |
| 2028 Mai 27 | S | 180 42.4 | 14.999 | N 21 20.9 | +0.41 | 245  4.6 | 11 57 14 | 4 20 ( 58) | 19 35 (302) |
| 2028 Mai 28 | D | 180 40.6 | 14.999 | N 21 30.6 | +0.39 | 246  3.8 | 11 57 22 | 4 19 ( 58) | 19 36 (302) |
| 2028 Mai 29 | L | 180 38.6 | 14.999 | N 21 39.9 | +0.37 | 247  2.9 | 11 57 30 | 4 18 ( 58) | 19 37 (303) |
| 2028 Mai 30 | M | 180 36.5 | 14.998 | N 21 48.9 | +0.36 | 248  2.1 | 11 57 38 | 4 18 ( 57) | 19 38 (303) |
| 2028 Mai 31 | M | 180 34.4 | 14.998 | N 21 57.5 | +0.34 | 249  1.2 | 11 57 47 | 4 17 ( 57) | 19 39 (303) |
| 2028 Jun  1 | J | 180 32.1 | 14.998 | N 22  5.7 | +0.33 | 250  0.3 | 11 57 56 | 4 16 ( 57) | 19 40 (303) |
| 2028 Jun  2 | V | 180 29.7 | 14.998 | N 22 13.5 | +0.31 | 250 59.5 | 11 58  6 | 4 16 ( 57) | 19 41 (303) |
| 2028 Jun  3 | S | 180 27.3 | 14.998 | N 22 21.0 | +0.29 | 251 58.6 | 11 58 16 | 4 15 ( 56) | 19 42 (304) |
| 2028 Jun  4 | D | 180 24.8 | 14.998 | N 22 28.0 | +0.28 | 252 57.7 | 11 58 26 | 4 15 ( 56) | 19 42 (304) |
| 2028 Jun  5 | L | 180 22.1 | 14.998 | N 22 34.7 | +0.26 | 253 56.9 | 11 58 37 | 4 15 ( 56) | 19 43 (304) |
| 2028 Jun  6 | M | 180 19.5 | 14.998 | N 22 40.9 | +0.24 | 254 56.0 | 11 58 48 | 4 14 ( 56) | 19 44 (304) |
| 2028 Jun  7 | M | 180 16.7 | 14.998 | N 22 46.8 | +0.23 | 255 55.2 | 11 58 59 | 4 14 ( 56) | 19 44 (304) |
| 2028 Jun  8 | J | 180 13.9 | 14.998 | N 22 52.3 | +0.21 | 256 54.3 | 11 59 10 | 4 14 ( 56) | 19 45 (304) |
| 2028 Jun  9 | V | 180 11.0 | 14.998 | N 22 57.3 | +0.19 | 257 53.5 | 11 59 22 | 4 13 ( 55) | 19 46 (305) |
| 2028 Jun 10 | S | 180  8.0 | 14.998 | N 23  2.0 | +0.18 | 258 52.6 | 11 59 34 | 4 13 ( 55) | 19 46 (305) |
| 2028 Jun 11 | D | 180  5.0 | 14.998 | N 23  6.2 | +0.16 | 259 51.7 | 11 59 46 | 4 13 ( 55) | 19 47 (305) |
| 2028 Jun 12 | L | 180  1.9 | 14.998 | N 23 10.1 | +0.14 | 260 50.9 | 11 59 59 | 4 13 ( 55) | 19 47 (305) |
| 2028 Jun 13 | M | 179 58.8 | 14.998 | N 23 13.5 | +0.13 | 261 50.0 | 12  0 11 | 4 13 ( 55) | 19 48 (305) |
| 2028 Jun 14 | M | 179 55.7 | 14.998 | N 23 16.5 | +0.11 | 262 49.1 | 12  0 24 | 4 13 ( 55) | 19 48 (305) |
| 2028 Jun 15 | J | 179 52.5 | 14.998 | N 23 19.2 | +0.09 | 263 48.3 | 12  0 37 | 4 13 ( 55) | 19 49 (305) |
| 2028 Jun 16 | V | 179 49.2 | 14.998 | N 23 21.4 | +0.07 | 264 47.4 | 12  0 50 | 4 13 ( 55) | 19 49 (305) |
| 2028 Jun 17 | S | 179 46.0 | 14.998 | N 23 23.2 | +0.06 | 265 46.6 | 12  1  3 | 4 13 ( 55) | 19 49 (305) |
| 2028 Jun 18 | D | 179 42.7 | 14.998 | N 23 24.5 | +0.04 | 266 45.7 | 12  1 16 | 4 13 ( 55) | 19 50 (305) |
| 2028 Jun 19 | L | 179 39.4 | 14.998 | N 23 25.5 | +0.02 | 267 44.8 | 12  1 29 | 4 13 ( 55) | 19 50 (305) |
| 2028 Jun 20 | M | 179 36.1 | 14.998 | N 23 26.1 | +0.01 | 268 44.0 | 12  1 42 | 4 13 ( 55) | 19 50 (305) |
