                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2025
                            ====================================================

|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
|             |   |    °    '|       °|     °    '|      '|    °    '|  h  m  s | h  m (Az°) |  h  m (Az°) |
| 2025 Jan  1 | M | 179  8.4 | 14.995 | S 22 59.9 | -0.22 | 100 54.0 | 12  3 41 | 7 38 (123) | 16 29 (238) |
| 2025 Jan  2 | J | 179  1.4 | 14.995 | S 22 54.7 | -0.24 | 101 53.1 | 12  4  9 | 7 38 (122) | 16 30 (238) |
| 2025 Jan  3 | V | 178 54.4 | 14.995 | S 22 49.1 | -0.25 | 102 52.3 | 12  4 36 | 7 38 (122) | 16 31 (238) |
| 2025 Jan  4 | S | 178 47.5 | 14.995 | S 22 43.0 | -0.27 | 103 51.4 | 12  5  4 | 7 38 (122) | 16 32 (238) |
| 2025 Jan  5 | D | 178 40.8 | 14.995 | S 22 36.4 | -0.29 | 104 50.5 | 12  5 30 | 7 38 (122) | 16 33 (238) |
| 2025 Jan  6 | L | 178 34.1 | 14.995 | S 22 29.4 | -0.31 | 105 49.7 | 12  5 57 | 7 38 (122) | 16 34 (238) |
| 2025 Jan  7 | M | 178 27.6 | 14.996 | S 22 22.0 | -0.33 | 106 48.8 | 12  6 23 | 7 38 (122) | 16 35 (239) |
| 2025 Jan  8 | M | 178 21.2 | 14.996 | S 22 14.1 | -0.35 | 107 47.9 | 12  6 48 | 7 37 (121) | 16 36 (239) |
| 2025 Jan  9 | J | 178 14.9 | 14.996 | S 22  5.8 | -0.36 | 108 47.1 | 12  7 13 | 7 37 (121) | 16 38 (239) |
| 2025 Jan 10 | V | 178  8.8 | 14.996 | S 21 57.0 | -0.38 | 109 46.2 | 12  7 37 | 7 37 (121) | 16 39 (239) |
| 2025 Jan 11 | S | 178  2.8 | 14.996 | S 21 47.9 | -0.40 | 110 45.4 | 12  8  1 | 7 36 (121) | 16 40 (239) |
| 2025 Jan 12 | D | 177 57.0 | 14.996 | S 21 38.3 | -0.42 | 111 44.5 | 12  8 24 | 7 36 (120) | 16 41 (240) |
| 2025 Jan 13 | L | 177 51.3 | 14.996 | S 21 28.2 | -0.43 | 112 43.7 | 12  8 46 | 7 36 (120) | 16 42 (240) |
| 2025 Jan 14 | M | 177 45.8 | 14.996 | S 21 17.8 | -0.45 | 113 42.8 | 12  9  8 | 7 35 (120) | 16 44 (240) |
