                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2023
                            ====================================================
 
|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
|             |   |    °    '|       °|     °    '|      '|    °    '|  h  m  s | h  m (Az°) |  h  m (Az°) |
| 2023 Jan  1 | D | 179 12.2 | 14.995 | S 23  2.4 | -0.21 | 100 23.3 | 12  3 26 | 7 38 (123) | 16 29 (237) |
| 2023 Jan  2 | L | 179  5.1 | 14.995 | S 22 57.4 | -0.23 | 101 22.5 | 12  3 54 | 7 38 (122) | 16 30 (238) |
| 2023 Jan  3 | M | 178 58.2 | 14.995 | S 22 52.0 | -0.24 | 102 21.6 | 12  4 21 | 7 38 (122) | 16 31 (238) |
| 2023 Jan  4 | M | 178 51.3 | 14.995 | S 22 46.2 | -0.26 | 103 20.7 | 12  4 49 | 7 38 (122) | 16 32 (238) |
| 2023 Jan  5 | J | 178 44.5 | 14.995 | S 22 39.9 | -0.28 | 104 19.9 | 12  5 16 | 7 38 (122) | 16 33 (238) |
| 2023 Jan  6 | V | 178 37.8 | 14.995 | S 22 33.1 | -0.30 | 105 19.0 | 12  5 42 | 7 38 (122) | 16 34 (238) |
| 2023 Jan  7 | S | 178 31.3 | 14.996 | S 22 25.9 | -0.32 | 106 18.2 | 12  6  8 | 7 38 (122) | 16 35 (238) |
| 2023 Jan  8 | D | 178 24.8 | 14.996 | S 22 18.2 | -0.34 | 107 17.3 | 12  6 34 | 7 38 (121) | 16 36 (239) |
| 2023 Jan  9 | L | 178 18.5 | 14.996 | S 22 10.2 | -0.35 | 108 16.4 | 12  6 59 | 7 37 (121) | 16 37 (239) |
| 2023 Jan 10 | M | 178 12.3 | 14.996 | S 22  1.6 | -0.37 | 109 15.6 | 12  7 23 | 7 37 (121) | 16 38 (239) |
| 2023 Jan 11 | M | 178  6.2 | 14.996 | S 21 52.7 | -0.39 | 110 14.7 | 12  7 47 | 7 37 (121) | 16 39 (239) |
| 2023 Jan 12 | J | 178  0.3 | 14.996 | S 21 43.3 | -0.41 | 111 13.9 | 12  8 10 | 7 36 (121) | 16 40 (240) |
| 2023 Jan 13 | V | 177 54.6 | 14.996 | S 21 33.5 | -0.43 | 112 13.0 | 12  8 33 | 7 36 (120) | 16 42 (240) |
| 2023 Jan 14 | S | 177 49.0 | 14.996 | S 21 23.3 | -0.44 | 113 12.1 | 12  8 55 | 7 35 (120) | 16 43 (240) |
| 2023 Jan 15 | D | 177 43.5 | 14.996 | S 21 12.7 | -0.46 | 114 11.3 | 12  9 17 | 7 35 (120) | 16 44 (240) |
| 2023 Jan 16 | L | 177 38.2 | 14.996 | S 21  1.7 | -0.48 | 115 10.4 | 12  9 38 | 7 34 (119) | 16 45 (241) |
| 2023 Jan 17 | M | 177 33.1 | 14.997 | S 20 50.2 | -0.49 | 116  9.5 | 12  9 58 | 7 34 (119) | 16 47 (241) |
| 2023 Jan 18 | M | 177 28.1 | 14.997 | S 20 38.4 | -0.51 | 117  8.7 | 12 10 18 | 7 33 (119) | 16 48 (241) |
| 2023 Jan 19 | J | 177 23.3 | 14.997 | S 20 26.2 | -0.53 | 118  7.8 | 12 10 36 | 7 32 (119) | 16 49 (242) |
| 2023 Jan 20 | V | 177 18.7 | 14.997 | S 20 13.5 | -0.54 | 119  7.0 | 12 10 54 | 7 32 (118) | 16 51 (242) |
| 2023 Jan 21 | S | 177 14.2 | 14.997 | S 20  0.5 | -0.56 | 120  6.1 | 12 11 12 | 7 31 (118) | 16 52 (242) |
| 2023 Jan 22 | D | 177 10.0 | 14.997 | S 19 47.2 | -0.57 | 121  5.3 | 12 11 28 | 7 30 (118) | 16 53 (243) |
| 2023 Jan 23 | L | 177  5.9 | 14.997 | S 19 33.4 | -0.59 | 122  4.4 | 12 11 44 | 7 29 (117) | 16 55 (243) |
| 2023 Jan 24 | M | 177  2.1 | 14.997 | S 19 19.3 | -0.60 | 123  3.5 | 12 11 59 | 7 28 (117) | 16 56 (243) |
| 2023 Jan 25 | M | 176 58.4 | 14.998 | S 19  4.9 | -0.62 | 124  2.7 | 12 12 14 | 7 27 (116) | 16 57 (244) |
| 2023 Jan 26 | J | 176 55.0 | 14.998 | S 18 50.1 | -0.63 | 125  1.8 | 12 12 27 | 7 27 (116) | 16 59 (244) |
| 2023 Jan 27 | V | 176 51.7 | 14.998 | S 18 34.9 | -0.65 | 126  0.9 | 12 12 40 | 7 26 (116) | 17 00 (244) |
| 2023 Jan 28 | S | 176 48.7 | 14.998 | S 18 19.4 | -0.66 | 127  0.1 | 12 12 51 | 7 25 (115) | 17 02 (245) |
| 2023 Jan 29 | D | 176 45.8 | 14.998 | S 18  3.6 | -0.67 | 127 59.2 | 12 13  2 | 7 24 (115) | 17 03 (245) |
| 2023 Jan 30 | L | 176 43.2 | 14.998 | S 17 47.5 | -0.69 | 128 58.4 | 12 13 12 | 7 22 (115) | 17 04 (246) |
| 2023 Jan 31 | M | 176 40.8 | 14.998 | S 17 31.0 | -0.70 | 129 57.5 | 12 13 22 | 7 21 (114) | 17 06 (246) |
| 2023 Fev  1 | M | 176 38.5 | 14.999 | S 17 14.2 | -0.71 | 130 56.6 | 12 13 30 | 7 20 (114) | 17 07 (246) |
| 2023 Fev  2 | J | 176 36.5 | 14.999 | S 16 57.2 | -0.72 | 131 55.8 | 12 13 38 | 7 19 (113) | 17 09 (247) |
| 2023 Fev  3 | V | 176 34.7 | 14.999 | S 16 39.8 | -0.74 | 132 54.9 | 12 13 45 | 7 18 (113) | 17 10 (247) |
| 2023 Fev  4 | S | 176 33.1 | 14.999 | S 16 22.1 | -0.75 | 133 54.1 | 12 13 51 | 7 17 (112) | 17 12 (248) |
| 2023 Fev  5 | D | 176 31.7 | 14.999 | S 16  4.2 | -0.76 | 134 53.2 | 12 13 56 | 7 15 (112) | 17 13 (248) |
| 2023 Fev  6 | L | 176 30.5 | 14.999 | S 15 46.0 | -0.77 | 135 52.3 | 12 14  0 | 7 14 (112) | 17 14 (249) |
| 2023 Fev  7 | M | 176 29.5 | 14.999 | S 15 27.5 | -0.78 | 136 51.5 | 12 14  4 | 7 13 (111) | 17 16 (249) |
| 2023 Fev  8 | M | 176 28.7 | 15.000 | S 15  8.8 | -0.79 | 137 50.6 | 12 14  6 | 7 11 (111) | 17 17 (250) |
| 2023 Fev  9 | J | 176 28.2 | 15.000 | S 14 49.8 | -0.80 | 138 49.8 | 12 14  8 | 7 10 (110) | 17 19 (250) |
| 2023 Fev 10 | V | 176 27.7 | 15.000 | S 14 30.5 | -0.81 | 139 48.9 | 12 14 10 | 7 09 (110) | 17 20 (250) |
| 2023 Fev 11 | S | 176 27.5 | 15.000 | S 14 11.0 | -0.82 | 140 48.0 | 12 14 10 | 7 07 (109) | 17 22 (251) |
| 2023 Fev 12 | D | 176 27.5 | 15.000 | S 13 51.3 | -0.83 | 141 47.2 | 12 14 10 | 7 06 (109) | 17 23 (251) |
| 2023 Fev 13 | L | 176 27.7 | 15.000 | S 13 31.3 | -0.84 | 142 46.3 | 12 14  9 | 7 04 (108) | 17 25 (252) |
| 2023 Fev 14 | M | 176 28.0 | 15.000 | S 13 11.1 | -0.85 | 143 45.4 | 12 14  7 | 7 03 (108) | 17 26 (252) |
| 2023 Fev 15 | M | 176 28.5 | 15.000 | S 12 50.7 | -0.86 | 144 44.6 | 12 14  5 | 7 01 (107) | 17 27 (253) |
| 2023 Fev 16 | J | 176 29.2 | 15.001 | S 12 30.1 | -0.87 | 145 43.7 | 12 14  1 | 7 00 (107) | 17 29 (253) |
| 2023 Fev 17 | V | 176 30.1 | 15.001 | S 12  9.3 | -0.88 | 146 42.9 | 12 13 58 | 6 58 (106) | 17 30 (254) |
| 2023 Fev 18 | S | 176 31.2 | 15.001 | S 11 48.3 | -0.88 | 147 42.0 | 12 13 53 | 6 57 (106) | 17 32 (254) |
| 2023 Fev 19 | D | 176 32.4 | 15.001 | S 11 27.1 | -0.89 | 148 41.1 | 12 13 48 | 6 55 (105) | 17 33 (255) |
| 2023 Fev 20 | L | 176 33.8 | 15.001 | S 11  5.7 | -0.90 | 149 40.3 | 12 13 42 | 6 54 (105) | 17 34 (255) |
| 2023 Fev 21 | M | 176 35.3 | 15.001 | S 10 44.1 | -0.91 | 150 39.4 | 12 13 35 | 6 52 (104) | 17 36 (256) |
| 2023 Fev 22 | M | 176 37.0 | 15.001 | S 10 22.4 | -0.91 | 151 38.6 | 12 13 28 | 6 50 (104) | 17 37 (256) |
| 2023 Fev 23 | J | 176 38.9 | 15.001 | S 10  0.5 | -0.92 | 152 37.7 | 12 13 20 | 6 49 (103) | 17 39 (257) |
| 2023 Fev 24 | V | 176 41.0 | 15.002 | S  9 38.5 | -0.92 | 153 36.8 | 12 13 12 | 6 47 (103) | 17 40 (258) |
| 2023 Fev 25 | S | 176 43.2 | 15.002 | S  9 16.3 | -0.93 | 154 36.0 | 12 13  3 | 6 45 (102) | 17 41 (258) |
| 2023 Fev 26 | D | 176 45.5 | 15.002 | S  8 54.0 | -0.94 | 155 35.1 | 12 12 53 | 6 44 (102) | 17 43 (259) |
| 2023 Fev 27 | L | 176 48.0 | 15.002 | S  8 31.5 | -0.94 | 156 34.3 | 12 12 43 | 6 42 (101) | 17 44 (259) |
| 2023 Fev 28 | M | 176 50.6 | 15.002 | S  8  8.9 | -0.95 | 157 33.4 | 12 12 32 | 6 40 (101) | 17 46 (260) |
| 2023 Mar  1 | M | 176 53.4 | 15.002 | S  7 46.3 | -0.95 | 158 32.5 | 12 12 21 | 6 39 (100) | 17 47 (260) |
| 2023 Mar  2 | J | 176 56.3 | 15.002 | S  7 23.5 | -0.95 | 159 31.7 | 12 12  9 | 6 37 ( 99) | 17 48 (261) |
| 2023 Mar  3 | V | 176 59.3 | 15.002 | S  7  0.5 | -0.96 | 160 30.8 | 12 11 57 | 6 35 ( 99) | 17 50 (261) |
| 2023 Mar  4 | S | 177  2.4 | 15.002 | S  6 37.5 | -0.96 | 161 30.0 | 12 11 44 | 6 33 ( 98) | 17 51 (262) |
| 2023 Mar  5 | D | 177  5.7 | 15.002 | S  6 14.4 | -0.97 | 162 29.1 | 12 11 30 | 6 31 ( 98) | 17 52 (262) |
| 2023 Mar  6 | L | 177  9.1 | 15.002 | S  5 51.3 | -0.97 | 163 28.2 | 12 11 17 | 6 30 ( 97) | 17 54 (263) |
| 2023 Mar  7 | M | 177 12.6 | 15.002 | S  5 28.0 | -0.97 | 164 27.4 | 12 11  3 | 6 28 ( 97) | 17 55 (264) |
| 2023 Mar  8 | M | 177 16.2 | 15.003 | S  5  4.7 | -0.97 | 165 26.5 | 12 10 48 | 6 26 ( 96) | 17 56 (264) |
| 2023 Mar  9 | J | 177 19.8 | 15.003 | S  4 41.3 | -0.98 | 166 25.6 | 12 10 33 | 6 24 ( 96) | 17 58 (265) |
| 2023 Mar 10 | V | 177 23.6 | 15.003 | S  4 17.8 | -0.98 | 167 24.8 | 12 10 18 | 6 22 ( 95) | 17 59 (265) |
| 2023 Mar 11 | S | 177 27.5 | 15.003 | S  3 54.3 | -0.98 | 168 23.9 | 12 10  2 | 6 21 ( 95) | 18 00 (266) |
| 2023 Mar 12 | D | 177 31.4 | 15.003 | S  3 30.7 | -0.98 | 169 23.0 | 12  9 46 | 6 19 ( 94) | 18 02 (266) |
| 2023 Mar 13 | L | 177 35.4 | 15.003 | S  3  7.1 | -0.99 | 170 22.2 | 12  9 30 | 6 17 ( 93) | 18 03 (267) |
| 2023 Mar 14 | M | 177 39.5 | 15.003 | S  2 43.5 | -0.99 | 171 21.3 | 12  9 14 | 6 15 ( 93) | 18 04 (267) |
| 2023 Mar 15 | M | 177 43.6 | 15.003 | S  2 19.8 | -0.99 | 172 20.5 | 12  8 57 | 6 13 ( 92) | 18 05 (268) |
| 2023 Mar 16 | J | 177 47.8 | 15.003 | S  1 56.1 | -0.99 | 173 19.6 | 12  8 40 | 6 11 ( 92) | 18 07 (269) |
| 2023 Mar 17 | V | 177 52.0 | 15.003 | S  1 32.4 | -0.99 | 174 18.7 | 12  8 23 | 6 10 ( 91) | 18 08 (269) |
| 2023 Mar 18 | S | 177 56.3 | 15.003 | S  1  8.7 | -0.99 | 175 17.9 | 12  8  6 | 6 08 ( 91) | 18 09 (270) |
| 2023 Mar 19 | D | 178  0.7 | 15.003 | S  0 44.9 | -0.99 | 176 17.0 | 12  7 49 | 6 06 ( 90) | 18 11 (270) |
| 2023 Mar 20 | L | 178  5.0 | 15.003 | S  0 21.2 | -0.99 | 177 16.2 | 12  7 31 | 6 04 ( 90) | 18 12 (271) |
| 2023 Mar 21 | M | 178  9.4 | 15.003 | N  0  2.5 | +0.99 | 178 15.3 | 12  7 13 | 6 02 ( 89) | 18 13 (271) |
| 2023 Mar 22 | M | 178 13.9 | 15.003 | N  0 26.3 | +0.99 | 179 14.4 | 12  6 56 | 6 00 ( 88) | 18 15 (272) |
| 2023 Mar 23 | J | 178 18.3 | 15.003 | N  0 50.0 | +0.99 | 180 13.6 | 12  6 38 | 5 58 ( 88) | 18 16 (272) |
| 2023 Mar 24 | V | 178 22.8 | 15.003 | N  1 13.6 | +0.98 | 181 12.7 | 12  6 20 | 5 56 ( 87) | 18 17 (273) |
| 2023 Mar 25 | S | 178 27.3 | 15.003 | N  1 37.3 | +0.98 | 182 11.8 | 12  6  2 | 5 55 ( 87) | 18 18 (274) |
| 2023 Mar 26 | D | 178 31.8 | 15.003 | N  2  0.9 | +0.98 | 183 11.0 | 12  5 44 | 5 53 ( 86) | 18 20 (274) |
| 2023 Mar 27 | L | 178 36.3 | 15.003 | N  2 24.4 | +0.98 | 184 10.1 | 12  5 26 | 5 51 ( 86) | 18 21 (275) |
| 2023 Mar 28 | M | 178 40.8 | 15.003 | N  2 47.9 | +0.98 | 185  9.3 | 12  5  8 | 5 49 ( 85) | 18 22 (275) |
| 2023 Mar 29 | M | 178 45.3 | 15.003 | N  3 11.4 | +0.97 | 186  8.4 | 12  4 50 | 5 47 ( 85) | 18 23 (276) |
| 2023 Mar 30 | J | 178 49.9 | 15.003 | N  3 34.7 | +0.97 | 187  7.5 | 12  4 32 | 5 45 ( 84) | 18 25 (276) |
