                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2023
                            ====================================================
 
|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
| 2023 Mar 31 | V | 178 54.3 | 15.003 | N  3 58.1 | +0.97 | 188  6.7 | 12  4 14 | 5 43 ( 83) | 18 26 (277) |
| 2023 Avr  1 | S | 178 58.8 | 15.003 | N  4 21.3 | +0.96 | 189  5.8 | 12  3 56 | 5 41 ( 83) | 18 27 (277) |
| 2023 Avr  2 | D | 179  3.3 | 15.003 | N  4 44.4 | +0.96 | 190  5.0 | 12  3 38 | 5 40 ( 82) | 18 29 (278) |
| 2023 Avr  3 | L | 179  7.7 | 15.003 | N  5  7.5 | +0.96 | 191  4.1 | 12  3 20 | 5 38 ( 82) | 18 30 (279) |
| 2023 Avr  4 | M | 179 12.1 | 15.003 | N  5 30.5 | +0.95 | 192  3.2 | 12  3  3 | 5 36 ( 81) | 18 31 (279) |
| 2023 Avr  5 | M | 179 16.5 | 15.003 | N  5 53.4 | +0.95 | 193  2.4 | 12  2 45 | 5 34 ( 81) | 18 32 (280) |
| 2023 Avr  6 | J | 179 20.8 | 15.003 | N  6 16.1 | +0.94 | 194  1.5 | 12  2 28 | 5 32 ( 80) | 18 34 (280) |
| 2023 Avr  7 | V | 179 25.1 | 15.003 | N  6 38.8 | +0.94 | 195  0.6 | 12  2 11 | 5 30 ( 80) | 18 35 (281) |
| 2023 Avr  8 | S | 179 29.3 | 15.003 | N  7  1.4 | +0.93 | 195 59.8 | 12  1 54 | 5 29 ( 79) | 18 36 (281) |
| 2023 Avr  9 | D | 179 33.5 | 15.003 | N  7 23.8 | +0.93 | 196 58.9 | 12  1 38 | 5 27 ( 79) | 18 37 (282) |
| 2023 Avr 10 | L | 179 37.6 | 15.003 | N  7 46.1 | +0.92 | 197 58.1 | 12  1 22 | 5 25 ( 78) | 18 39 (282) |
| 2023 Avr 11 | M | 179 41.6 | 15.003 | N  8  8.3 | +0.92 | 198 57.2 | 12  1  6 | 5 23 ( 77) | 18 40 (283) |
| 2023 Avr 12 | M | 179 45.6 | 15.003 | N  8 30.3 | +0.91 | 199 56.3 | 12  0 50 | 5 21 ( 77) | 18 41 (283) |
| 2023 Avr 13 | J | 179 49.4 | 15.003 | N  8 52.2 | +0.91 | 200 55.5 | 12  0 35 | 5 20 ( 76) | 18 42 (284) |
| 2023 Avr 14 | V | 179 53.2 | 15.003 | N  9 14.0 | +0.90 | 201 54.6 | 12  0 20 | 5 18 ( 76) | 18 44 (284) |
| 2023 Avr 15 | S | 179 56.9 | 15.003 | N  9 35.6 | +0.89 | 202 53.8 | 12  0  5 | 5 16 ( 75) | 18 45 (285) |
| 2023 Avr 16 | D | 180  0.6 | 15.002 | N  9 57.1 | +0.89 | 203 52.9 | 11 59 51 | 5 14 ( 75) | 18 46 (285) |
| 2023 Avr 17 | L | 180  4.1 | 15.002 | N 10 18.4 | +0.88 | 204 52.0 | 11 59 37 | 5 13 ( 74) | 18 47 (286) |
| 2023 Avr 18 | M | 180  7.5 | 15.002 | N 10 39.5 | +0.87 | 205 51.2 | 11 59 23 | 5 11 ( 74) | 18 49 (286) |
| 2023 Avr 19 | M | 180 10.8 | 15.002 | N 11  0.4 | +0.87 | 206 50.3 | 11 59 10 | 5 09 ( 73) | 18 50 (287) |
| 2023 Avr 20 | J | 180 14.0 | 15.002 | N 11 21.2 | +0.86 | 207 49.5 | 11 58 58 | 5 07 ( 73) | 18 51 (287) |
| 2023 Avr 21 | V | 180 17.2 | 15.002 | N 11 41.8 | +0.85 | 208 48.6 | 11 58 45 | 5 06 ( 72) | 18 53 (288) |
| 2023 Avr 22 | S | 180 20.2 | 15.002 | N 12  2.2 | +0.84 | 209 47.7 | 11 58 34 | 5 04 ( 72) | 18 54 (288) |
| 2023 Avr 23 | D | 180 23.1 | 15.002 | N 12 22.4 | +0.83 | 210 46.9 | 11 58 22 | 5 02 ( 71) | 18 55 (289) |
| 2023 Avr 24 | L | 180 25.9 | 15.002 | N 12 42.3 | +0.82 | 211 46.0 | 11 58 11 | 5 01 ( 71) | 18 56 (289) |
| 2023 Avr 25 | M | 180 28.5 | 15.002 | N 13  2.1 | +0.81 | 212 45.1 | 11 58  1 | 4 59 ( 70) | 18 58 (290) |
| 2023 Avr 26 | M | 180 31.1 | 15.002 | N 13 21.7 | +0.81 | 213 44.3 | 11 57 51 | 4 58 ( 70) | 18 59 (290) |
| 2023 Avr 27 | J | 180 33.5 | 15.002 | N 13 41.0 | +0.80 | 214 43.4 | 11 57 41 | 4 56 ( 69) | 19 00 (291) |
| 2023 Avr 28 | V | 180 35.9 | 15.002 | N 14  0.1 | +0.79 | 215 42.6 | 11 57 32 | 4 55 ( 69) | 19 01 (291) |
| 2023 Avr 29 | S | 180 38.1 | 15.001 | N 14 19.0 | +0.78 | 216 41.7 | 11 57 24 | 4 53 ( 69) | 19 03 (292) |
| 2023 Avr 30 | D | 180 40.1 | 15.001 | N 14 37.6 | +0.77 | 217 40.8 | 11 57 16 | 4 51 ( 68) | 19 04 (292) |
| 2023 Mai  1 | L | 180 42.1 | 15.001 | N 14 56.0 | +0.76 | 218 40.0 | 11 57  8 | 4 50 ( 68) | 19 05 (293) |
| 2023 Mai  2 | M | 180 43.9 | 15.001 | N 15 14.1 | +0.75 | 219 39.1 | 11 57  1 | 4 48 ( 67) | 19 06 (293) |
| 2023 Mai  3 | M | 180 45.6 | 15.001 | N 15 32.0 | +0.73 | 220 38.3 | 11 56 55 | 4 47 ( 67) | 19 08 (294) |
| 2023 Mai  4 | J | 180 47.1 | 15.001 | N 15 49.7 | +0.72 | 221 37.4 | 11 56 49 | 4 46 ( 66) | 19 09 (294) |
| 2023 Mai  5 | V | 180 48.6 | 15.001 | N 16  7.0 | +0.71 | 222 36.5 | 11 56 43 | 4 44 ( 66) | 19 10 (294) |
| 2023 Mai  6 | S | 180 49.8 | 15.001 | N 16 24.1 | +0.70 | 223 35.7 | 11 56 38 | 4 43 ( 65) | 19 11 (295) |
| 2023 Mai  7 | D | 180 51.0 | 15.001 | N 16 41.0 | +0.69 | 224 34.8 | 11 56 34 | 4 41 ( 65) | 19 12 (295) |
| 2023 Mai  8 | L | 180 52.0 | 15.001 | N 16 57.5 | +0.68 | 225 34.0 | 11 56 30 | 4 40 ( 65) | 19 14 (296) |
| 2023 Mai  9 | M | 180 52.8 | 15.000 | N 17 13.8 | +0.67 | 226 33.1 | 11 56 27 | 4 39 ( 64) | 19 15 (296) |
| 2023 Mai 10 | M | 180 53.5 | 15.000 | N 17 29.8 | +0.65 | 227 32.2 | 11 56 25 | 4 37 ( 64) | 19 16 (296) |
| 2023 Mai 11 | J | 180 54.1 | 15.000 | N 17 45.5 | +0.64 | 228 31.4 | 11 56 23 | 4 36 ( 63) | 19 17 (297) |
| 2023 Mai 12 | V | 180 54.5 | 15.000 | N 18  0.9 | +0.63 | 229 30.5 | 11 56 22 | 4 35 ( 63) | 19 18 (297) |
| 2023 Mai 13 | S | 180 54.7 | 15.000 | N 18 16.0 | +0.62 | 230 29.7 | 11 56 21 | 4 34 ( 63) | 19 20 (298) |
| 2023 Mai 14 | D | 180 54.8 | 15.000 | N 18 30.8 | +0.60 | 231 28.8 | 11 56 21 | 4 33 ( 62) | 19 21 (298) |
| 2023 Mai 15 | L | 180 54.8 | 15.000 | N 18 45.2 | +0.59 | 232 27.9 | 11 56 21 | 4 31 ( 62) | 19 22 (298) |
| 2023 Mai 16 | M | 180 54.6 | 15.000 | N 18 59.4 | +0.58 | 233 27.1 | 11 56 22 | 4 30 ( 62) | 19 23 (299) |
| 2023 Mai 17 | M | 180 54.3 | 15.000 | N 19 13.2 | +0.56 | 234 26.2 | 11 56 24 | 4 29 ( 61) | 19 24 (299) |
| 2023 Mai 18 | J | 180 53.8 | 15.000 | N 19 26.8 | +0.55 | 235 25.3 | 11 56 26 | 4 28 ( 61) | 19 25 (299) |
| 2023 Mai 19 | V | 180 53.2 | 14.999 | N 19 39.9 | +0.54 | 236 24.5 | 11 56 29 | 4 27 ( 61) | 19 26 (300) |
| 2023 Mai 20 | S | 180 52.5 | 14.999 | N 19 52.8 | +0.52 | 237 23.6 | 11 56 32 | 4 26 ( 60) | 19 28 (300) |
| 2023 Mai 21 | D | 180 51.6 | 14.999 | N 20  5.3 | +0.51 | 238 22.8 | 11 56 36 | 4 25 ( 60) | 19 29 (300) |
| 2023 Mai 22 | L | 180 50.6 | 14.999 | N 20 17.5 | +0.49 | 239 21.9 | 11 56 40 | 4 24 ( 60) | 19 30 (301) |
| 2023 Mai 23 | M | 180 49.4 | 14.999 | N 20 29.3 | +0.48 | 240 21.0 | 11 56 45 | 4 23 ( 59) | 19 31 (301) |
| 2023 Mai 24 | M | 180 48.2 | 14.999 | N 20 40.8 | +0.46 | 241 20.2 | 11 56 50 | 4 22 ( 59) | 19 32 (301) |
| 2023 Mai 25 | J | 180 46.8 | 14.999 | N 20 51.9 | +0.45 | 242 19.3 | 11 56 56 | 4 22 ( 59) | 19 33 (301) |
| 2023 Mai 26 | V | 180 45.2 | 14.999 | N 21  2.6 | +0.43 | 243 18.5 | 11 57  2 | 4 21 ( 58) | 19 34 (302) |
| 2023 Mai 27 | S | 180 43.6 | 14.999 | N 21 13.0 | +0.42 | 244 17.6 | 11 57  9 | 4 20 ( 58) | 19 35 (302) |
| 2023 Mai 28 | D | 180 41.8 | 14.999 | N 21 23.0 | +0.40 | 245 16.7 | 11 57 16 | 4 19 ( 58) | 19 36 (302) |
| 2023 Mai 29 | L | 180 40.0 | 14.999 | N 21 32.7 | +0.39 | 246 15.9 | 11 57 24 | 4 19 ( 58) | 19 37 (302) |
| 2023 Mai 30 | M | 180 38.0 | 14.999 | N 21 41.9 | +0.37 | 247 15.0 | 11 57 32 | 4 18 ( 57) | 19 38 (303) |
| 2023 Mai 31 | M | 180 35.9 | 14.998 | N 21 50.8 | +0.35 | 248 14.2 | 11 57 41 | 4 17 ( 57) | 19 38 (303) |
| 2023 Jun  1 | J | 180 33.8 | 14.998 | N 21 59.3 | +0.34 | 249 13.3 | 11 57 49 | 4 17 ( 57) | 19 39 (303) |
| 2023 Jun  2 | V | 180 31.5 | 14.998 | N 22  7.5 | +0.32 | 250 12.4 | 11 57 59 | 4 16 ( 57) | 19 40 (303) |
| 2023 Jun  3 | S | 180 29.1 | 14.998 | N 22 15.2 | +0.31 | 251 11.6 | 11 58  8 | 4 16 ( 57) | 19 41 (304) |
| 2023 Jun  4 | D | 180 26.7 | 14.998 | N 22 22.6 | +0.29 | 252 10.7 | 11 58 18 | 4 15 ( 56) | 19 42 (304) |
| 2023 Jun  5 | L | 180 24.1 | 14.998 | N 22 29.5 | +0.27 | 253  9.9 | 11 58 29 | 4 15 ( 56) | 19 42 (304) |
| 2023 Jun  6 | M | 180 21.5 | 14.998 | N 22 36.1 | +0.26 | 254  9.0 | 11 58 39 | 4 14 ( 56) | 19 43 (304) |
| 2023 Jun  7 | M | 180 18.8 | 14.998 | N 22 42.3 | +0.24 | 255  8.1 | 11 58 50 | 4 14 ( 56) | 19 44 (304) |
| 2023 Jun  8 | J | 180 16.0 | 14.998 | N 22 48.1 | +0.22 | 256  7.3 | 11 59  2 | 4 14 ( 56) | 19 45 (304) |
| 2023 Jun  9 | V | 180 13.1 | 14.998 | N 22 53.4 | +0.21 | 257  6.4 | 11 59 13 | 4 14 ( 56) | 19 45 (304) |
| 2023 Jun 10 | S | 180 10.2 | 14.998 | N 22 58.4 | +0.19 | 258  5.6 | 11 59 25 | 4 13 ( 55) | 19 46 (305) |
| 2023 Jun 11 | D | 180  7.2 | 14.998 | N 23  3.0 | +0.17 | 259  4.7 | 11 59 37 | 4 13 ( 55) | 19 46 (305) |
| 2023 Jun 12 | L | 180  4.2 | 14.998 | N 23  7.2 | +0.16 | 260  3.8 | 11 59 50 | 4 13 ( 55) | 19 47 (305) |
| 2023 Jun 13 | M | 180  1.0 | 14.998 | N 23 10.9 | +0.14 | 261  3.0 | 12  0  2 | 4 13 ( 55) | 19 47 (305) |
| 2023 Jun 14 | M | 179 57.9 | 14.998 | N 23 14.3 | +0.12 | 262  2.1 | 12  0 15 | 4 13 ( 55) | 19 48 (305) |
| 2023 Jun 15 | J | 179 54.7 | 14.998 | N 23 17.2 | +0.11 | 263  1.2 | 12  0 28 | 4 13 ( 55) | 19 48 (305) |
| 2023 Jun 16 | V | 179 51.5 | 14.998 | N 23 19.8 | +0.09 | 264  0.4 | 12  0 41 | 4 13 ( 55) | 19 49 (305) |
| 2023 Jun 17 | S | 179 48.2 | 14.998 | N 23 21.9 | +0.07 | 264 59.5 | 12  0 54 | 4 13 ( 55) | 19 49 (305) |
| 2023 Jun 18 | D | 179 44.9 | 14.998 | N 23 23.6 | +0.05 | 265 58.7 | 12  1  7 | 4 13 ( 55) | 19 49 (305) |
| 2023 Jun 19 | L | 179 41.7 | 14.998 | N 23 24.9 | +0.04 | 266 57.8 | 12  1 20 | 4 13 ( 55) | 19 50 (305) |
| 2023 Jun 20 | M | 179 38.4 | 14.998 | N 23 25.8 | +0.02 | 267 57.0 | 12  1 33 | 4 13 ( 55) | 19 50 (305) |
| 2023 Jun 21 | M | 179 35.1 | 14.998 | N 23 26.2 | +0.00 | 268 56.1 | 12  1 46 | 4 13 ( 55) | 19 50 (305) |
